card, set, printTag, price, quantity
Final Flame,Legend of Blue Eyes White Dragon,LOB-EN100,3.99,86
Final Flame,Legend of Blue Eyes White Dragon,LOB-100,1.21,97
Final Flame,Legend of Blue Eyes White Dragon,LOB-E080,14.49,40
Firegrass,Legend of Blue Eyes White Dragon,LOB-EN018,6.95,80
Firegrass,Legend of Blue Eyes White Dragon,LOB-018,1.61,8
Firegrass,Legend of Blue Eyes White Dragon,LOB-E014,7.18,97
Fireyarou,Legend of Blue Eyes White Dragon,LOB-EN085,4.95,9
Fireyarou,Legend of Blue Eyes White Dragon,LOB-085,1.0,67
Fireyarou,Legend of Blue Eyes White Dragon,LOB-E067,19.33,98
Fissure,Legend of Blue Eyes White Dragon,LOB-EN057,2.75,83
Fissure,Legend of Blue Eyes White Dragon,LOB-057,1.16,38
Fissure,Legend of Blue Eyes White Dragon,LOB-E045,13.39,12
Flame Ghost,Legend of Blue Eyes White Dragon,LOB-EN029,16.22,74
Flame Ghost,Legend of Blue Eyes White Dragon,LOB-029,1.49,31
Flame Ghost,Legend of Blue Eyes White Dragon,LOB-E023,14.57,95
Flame Manipulator,Legend of Blue Eyes White Dragon,LOB-EN016,6.95,51
Flame Manipulator,Legend of Blue Eyes White Dragon,LOB-016,1.11,54
Flame Manipulator,Legend of Blue Eyes White Dragon,LOB-E012,10.4,46
Flame Swordsman,Legend of Blue Eyes White Dragon,LOB-EN003,0.0,49
Flame Swordsman,Legend of Blue Eyes White Dragon,LOB-003,2.52,80
Fusionist,Legend of Blue Eyes White Dragon,LOB-EN022,2.98,21
Fusionist,Legend of Blue Eyes White Dragon,LOB-022,1.3,8
Gaia The Fierce Knight,Legend of Blue Eyes White Dragon,LOB-EN006,42.35,8
Gaia The Fierce Knight,Legend of Blue Eyes White Dragon,LOB-006,6.24,39
Gaia The Fierce Knight,Legend of Blue Eyes White Dragon,LOB-E004,19.43,92
Gaia the Dragon Champion,Legend of Blue Eyes White Dragon,LOB-EN125,10.75,10
Gaia the Dragon Champion,Legend of Blue Eyes White Dragon,LOB-125,4.74,13
Gaia the Dragon Champion,Legend of Blue Eyes White Dragon,LOB-E102,21.32,25
Giant Soldier of Stone,Legend of Blue Eyes White Dragon,LOB-EN068,26.0,36
Giant Soldier of Stone,Legend of Blue Eyes White Dragon,LOB-068,1.08,50
Giant Soldier of Stone,Legend of Blue Eyes White Dragon,LOB-E054,12.93,71
Goblin's Secret Remedy,Legend of Blue Eyes White Dragon,LOB-EN099,0.0,11
Goblin's Secret Remedy,Legend of Blue Eyes White Dragon,LOB-099,1.09,67
Goblin's Secret Remedy,Legend of Blue Eyes White Dragon,LOB-E079,8.54,48
Green Phantom King,Legend of Blue Eyes White Dragon,LOB-EN034,4.95,90
Green Phantom King,Legend of Blue Eyes White Dragon,LOB-034,0.96,59
Green Phantom King,Legend of Blue Eyes White Dragon,LOB-E028,11.49,85
Hane-Hane,Legend of Blue Eyes White Dragon,LOB-EN110,5.25,33
Hane-Hane,Legend of Blue Eyes White Dragon,LOB-110,1.06,89
Hard Armor,Legend of Blue Eyes White Dragon,LOB-EN074,0.99,44
Hard Armor,Legend of Blue Eyes White Dragon,LOB-074,1.04,5
Hard Armor,Legend of Blue Eyes White Dragon,LOB-E059,2.55,39
Hinotama,Legend of Blue Eyes White Dragon,LOB-EN056,6.95,31
Hinotama,Legend of Blue Eyes White Dragon,LOB-056,1.34,18
Hitotsu-Me Giant,Legend of Blue Eyes White Dragon,LOB-EN002,2.45,98
Hitotsu-Me Giant,Legend of Blue Eyes White Dragon,LOB-002,1.02,21
Kagemusha of the Blue Flame,Legend of Blue Eyes White Dragon,LOB-EN028,6.95,70
Kagemusha of the Blue Flame,Legend of Blue Eyes White Dragon,LOB-028,1.02,59
Kagemusha of the Blue Flame,Legend of Blue Eyes White Dragon,LOB-E022,2.32,67
Karbonala Warrior,Legend of Blue Eyes White Dragon,LOB-EN067,12.46,31
Karbonala Warrior,Legend of Blue Eyes White Dragon,LOB-067,2.39,0
Kumootoko,Legend of Blue Eyes White Dragon,LOB-EN082,4.95,20
Kumootoko,Legend of Blue Eyes White Dragon,LOB-082,1.01,54
Kumootoko,Legend of Blue Eyes White Dragon,LOB-E064,2.55,17
Laser Cannon Armor,Legend of Blue Eyes White Dragon,LOB-EN089,0.0,16
Laser Cannon Armor,Legend of Blue Eyes White Dragon,LOB-089,2.05,52
Laser Cannon Armor,Legend of Blue Eyes White Dragon,LOB-E069,27.41,55
Left Arm of the Forbidden One,Legend of Blue Eyes White Dragon,LOB-EN123,5.5,37
Left Arm of the Forbidden One,Legend of Blue Eyes White Dragon,LOB-123,8.65,45
Left Arm of the Forbidden One,Legend of Blue Eyes White Dragon,LOB-E100,21.94,85
Left Leg of the Forbidden One,Legend of Blue Eyes White Dragon,LOB-EN121,51.22,83
Left Leg of the Forbidden One,Legend of Blue Eyes White Dragon,LOB-121,6.83,20
Left Leg of the Forbidden One,Legend of Blue Eyes White Dragon,LOB-E098,27.42,49
Legendary Sword,Legend of Blue Eyes White Dragon,LOB-EN040,6.44,69
Legendary Sword,Legend of Blue Eyes White Dragon,LOB-040,2.22,92
Legendary Sword,Legend of Blue Eyes White Dragon,LOB-E031,16.7,63
Lesser Dragon,Legend of Blue Eyes White Dragon,LOB-EN113,4.95,69
Lesser Dragon,Legend of Blue Eyes White Dragon,LOB-113,1.06,8
Lesser Dragon,Legend of Blue Eyes White Dragon,LOB-E091,11.79,24
M-Warrior 1,Legend of Blue Eyes White Dragon,LOB-EN076,4.95,98
M-Warrior 1,Legend of Blue Eyes White Dragon,LOB-076,1.07,36
Machine Conversion Factory,Legend of Blue Eyes White Dragon,LOB-EN096,0.0,99
Machine Conversion Factory,Legend of Blue Eyes White Dragon,LOB-096,2.05,23
Machine Conversion Factory,Legend of Blue Eyes White Dragon,LOB-E076,9.14,51
Mammoth Graveyard,Legend of Blue Eyes White Dragon,LOB-EN009,3.95,68
Mammoth Graveyard,Legend of Blue Eyes White Dragon,LOB-009,1.04,81
Man-Eater Bug,Legend of Blue Eyes White Dragon,LOB-EN108,11.47,77
Man-Eater Bug,Legend of Blue Eyes White Dragon,LOB-108,2.94,34
Man-Eater Bug,Legend of Blue Eyes White Dragon,LOB-E088,12.92,49
Masaki the Legendary Swordsman,Legend of Blue Eyes White Dragon,LOB-EN038,0.0,7
Masaki the Legendary Swordsman,Legend of Blue Eyes White Dragon,LOB-038,1.1,0
Meda Bat,Legend of Blue Eyes White Dragon,LOB-EN083,2.75,49
Meda Bat,Legend of Blue Eyes White Dragon,LOB-083,1.0,39
Meda Bat,Legend of Blue Eyes White Dragon,LOB-E065,9.09,89
Metal Dragon,Legend of Blue Eyes White Dragon,LOB-EN102,10.81,6
Metal Dragon,Legend of Blue Eyes White Dragon,LOB-102,1.18,36
Metal Dragon,Legend of Blue Eyes White Dragon,LOB-E082,10.75,12
Misairuzame,Legend of Blue Eyes White Dragon,LOB-EN111,6.95,92
Misairuzame,Legend of Blue Eyes White Dragon,LOB-111,0.99,35
Misairuzame,Legend of Blue Eyes White Dragon,LOB-E089,6.93,25
Monster Egg,Legend of Blue Eyes White Dragon,LOB-EN017,0.99,65
Monster Egg,Legend of Blue Eyes White Dragon,LOB-017,1.04,21
Monster Egg,Legend of Blue Eyes White Dragon,LOB-E013,11.63,95
Mountain,Legend of Blue Eyes White Dragon,LOB-EN048,6.95,56
Mountain,Legend of Blue Eyes White Dragon,LOB-048,1.13,39
Mystical Elf,Legend of Blue Eyes White Dragon,LOB-EN062,20.01,62
Mystical Elf,Legend of Blue Eyes White Dragon,LOB-062,2.03,58
Mystical Elf,Legend of Blue Eyes White Dragon,LOB-E050,19.76,18
Mystical Moon,Legend of Blue Eyes White Dragon,LOB-EN094,6.95,89
Mystical Moon,Legend of Blue Eyes White Dragon,LOB-094,1.19,46
Mystical Moon,Legend of Blue Eyes White Dragon,LOB-E074,13.49,92
One-Eyed Shield Dragon,Legend of Blue Eyes White Dragon,LOB-EN087,4.95,78
One-Eyed Shield Dragon,Legend of Blue Eyes White Dragon,LOB-087,1.02,59
Petit Angel,Legend of Blue Eyes White Dragon,LOB-EN025,35.0,93
Petit Angel,Legend of Blue Eyes White Dragon,LOB-025,1.05,84
Petit Dragon,Legend of Blue Eyes White Dragon,LOB-EN024,6.95,11
Petit Dragon,Legend of Blue Eyes White Dragon,LOB-024,1.08,8
Petit Dragon,Legend of Blue Eyes White Dragon,LOB-E019,12.37,94
Polymerization,Legend of Blue Eyes White Dragon,LOB-EN059,24.92,98
Polymerization,Legend of Blue Eyes White Dragon,LOB-059,3.38,14
Polymerization,Legend of Blue Eyes White Dragon,LOB-E047,17.62,86
Pot of Greed,Legend of Blue Eyes White Dragon,LOB-EN119,5.97,84
Pot of Greed,Legend of Blue Eyes White Dragon,LOB-119,4.9,68
Power of Kaishin,Legend of Blue Eyes White Dragon,LOB-EN044,6.95,80
Power of Kaishin,Legend of Blue Eyes White Dragon,LOB-044,1.71,88
Raigeki,Legend of Blue Eyes White Dragon,LOB-EN053,10.58,79
Raigeki,Legend of Blue Eyes White Dragon,LOB-053,7.54,51
Raigeki,Legend of Blue Eyes White Dragon,LOB-E042,32.4,68
Raise Body Heat,Legend of Blue Eyes White Dragon,LOB-EN097,0.0,92
Raise Body Heat,Legend of Blue Eyes White Dragon,LOB-097,1.5,3
Raise Body Heat,Legend of Blue Eyes White Dragon,LOB-E077,10.34,79
Reaper of the Cards,Legend of Blue Eyes White Dragon,LOB-EN071,12.81,5
Reaper of the Cards,Legend of Blue Eyes White Dragon,LOB-071,1.54,83
Reaper of the Cards,Legend of Blue Eyes White Dragon,LOB-E057,18.69,76
Red Medicine,Legend of Blue Eyes White Dragon,LOB-EN054,6.95,21
Red Medicine,Legend of Blue Eyes White Dragon,LOB-054,1.04,99
Red Medicine,Legend of Blue Eyes White Dragon,LOB-E043,9.17,47
Red-Eyes B. Dragon,Legend of Blue Eyes White Dragon,LOB-EN070,0.0,92
Red-Eyes B. Dragon,Legend of Blue Eyes White Dragon,LOB-070,15.94,53
Red-Eyes B. Dragon,Legend of Blue Eyes White Dragon,LOB-E056,68.64,54
Remove Trap,Legend of Blue Eyes White Dragon,LOB-EN060,6.95,63
Remove Trap,Legend of Blue Eyes White Dragon,LOB-060,1.13,63
Remove Trap,Legend of Blue Eyes White Dragon,LOB-E048,0.99,84
Right Arm of the Forbidden One,Legend of Blue Eyes White Dragon,LOB-EN122,33.45,91
Right Arm of the Forbidden One,Legend of Blue Eyes White Dragon,LOB-122,7.38,49
Right Arm of the Forbidden One,Legend of Blue Eyes White Dragon,LOB-E099,21.06,6
Right Leg of the Forbidden One,Legend of Blue Eyes White Dragon,LOB-EN120,11.99,78
Right Leg of the Forbidden One,Legend of Blue Eyes White Dragon,LOB-120,7.65,98
Right Leg of the Forbidden One,Legend of Blue Eyes White Dragon,LOB-E097,21.42,83
Root Water,Legend of Blue Eyes White Dragon,LOB-EN032,6.95,47
Root Water,Legend of Blue Eyes White Dragon,LOB-032,1.04,87
Root Water,Legend of Blue Eyes White Dragon,LOB-E026,10.67,86
Sand Stone,Legend of Blue Eyes White Dragon,LOB-EN109,2.75,46
Sand Stone,Legend of Blue Eyes White Dragon,LOB-109,0.99,22
Silver Bow and Arrow,Legend of Blue Eyes White Dragon,LOB-EN091,25.49,79
Silver Bow and Arrow,Legend of Blue Eyes White Dragon,LOB-091,1.51,8
Silver Bow and Arrow,Legend of Blue Eyes White Dragon,LOB-E071,17.14,61
Skull Red Bird,Legend of Blue Eyes White Dragon,LOB-EN105,0.0,36
Skull Red Bird,Legend of Blue Eyes White Dragon,LOB-105,1.01,7
Skull Red Bird,Legend of Blue Eyes White Dragon,LOB-E085,2.55,40
Skull Servant,Legend of Blue Eyes White Dragon,LOB-EN004,3.45,39
Skull Servant,Legend of Blue Eyes White Dragon,LOB-004,1.55,22
Skull Servant,Legend of Blue Eyes White Dragon,LOB-E002,11.09,49
Sparks,Legend of Blue Eyes White Dragon,LOB-EN055,0.0,57
Sparks,Legend of Blue Eyes White Dragon,LOB-055,1.04,84
Sparks,Legend of Blue Eyes White Dragon,LOB-E044,11.36,84
Steel Ogre Grotto 1,Legend of Blue Eyes White Dragon,LOB-EN112,6.95,19
Steel Ogre Grotto 1,Legend of Blue Eyes White Dragon,LOB-112,1.05,96
Steel Ogre Grotto 1,Legend of Blue Eyes White Dragon,LOB-E090,11.37,92
Stop Defense,Legend of Blue Eyes White Dragon,LOB-EN095,100.0,92
Stop Defense,Legend of Blue Eyes White Dragon,LOB-095,1.4,88
Stop Defense,Legend of Blue Eyes White Dragon,LOB-E075,11.87,97
Succubus Knight,Legend of Blue Eyes White Dragon,LOB-EN117,4.95,6
Succubus Knight,Legend of Blue Eyes White Dragon,LOB-117,1.0,51
Succubus Knight,Legend of Blue Eyes White Dragon,LOB-E095,8.21,88
Swords of Revealing Light,Legend of Blue Eyes White Dragon,LOB-EN101,1.89,52
Swords of Revealing Light,Legend of Blue Eyes White Dragon,LOB-101,2.38,78
Swords of Revealing Light,Legend of Blue Eyes White Dragon,LOB-E081,12.92,75
Terra the Terrible,Legend of Blue Eyes White Dragon,LOB-EN080,4.95,87
Terra the Terrible,Legend of Blue Eyes White Dragon,LOB-080,1.01,87
Terra the Terrible,Legend of Blue Eyes White Dragon,LOB-E063,7.11,78
The 13th Grave,Legend of Blue Eyes White Dragon,LOB-EN014,4.95,70
The 13th Grave,Legend of Blue Eyes White Dragon,LOB-014,1.04,70
The 13th Grave,Legend of Blue Eyes White Dragon,LOB-E010,7.8,62
The Furious Sea King,Legend of Blue Eyes White Dragon,LOB-EN033,6.95,96
The Furious Sea King,Legend of Blue Eyes White Dragon,LOB-033,1.62,19
The Furious Sea King,Legend of Blue Eyes White Dragon,LOB-E027,11.95,49
Trap Hole,Legend of Blue Eyes White Dragon,LOB-EN058,2.82,17
Trap Hole,Legend of Blue Eyes White Dragon,LOB-058,4.37,21
Trap Hole,Legend of Blue Eyes White Dragon,LOB-E046,11.45,62
Tri-Horned Dragon,Legend of Blue Eyes White Dragon,LOB-EN000,29.99,25
Tri-Horned Dragon,Legend of Blue Eyes White Dragon,LOB-000,9.84,70
Tri-Horned Dragon,Legend of Blue Eyes White Dragon,LOB-E000,51.87,93
Trial of Nightmare,Legend of Blue Eyes White Dragon,LOB-EN012,6.95,69
Trial of Nightmare,Legend of Blue Eyes White Dragon,LOB-012,1.04,76
Tripwire Beast,Legend of Blue Eyes White Dragon,LOB-EN104,6.95,3
Tripwire Beast,Legend of Blue Eyes White Dragon,LOB-104,1.54,6
Tripwire Beast,Legend of Blue Eyes White Dragon,LOB-E084,12.5,58
Turtle Tiger,Legend of Blue Eyes White Dragon,LOB-EN023,6.95,97
Turtle Tiger,Legend of Blue Eyes White Dragon,LOB-023,1.01,58
Turtle Tiger,Legend of Blue Eyes White Dragon,LOB-E018,5.81,91
Two-Mouth Darkruler,Legend of Blue Eyes White Dragon,LOB-EN030,6.95,40
Two-Mouth Darkruler,Legend of Blue Eyes White Dragon,LOB-030,1.0,18
Two-Mouth Darkruler,Legend of Blue Eyes White Dragon,LOB-E024,9.35,59
Umi,Legend of Blue Eyes White Dragon,LOB-EN050,21.98,70
Umi,Legend of Blue Eyes White Dragon,LOB-050,2.19,95
Umi,Legend of Blue Eyes White Dragon,LOB-E039,13.68,28
Uraby,Legend of Blue Eyes White Dragon,LOB-EN069,4.95,54
Uraby,Legend of Blue Eyes White Dragon,LOB-069,1.6,0
Uraby,Legend of Blue Eyes White Dragon,LOB-E055,16.4,52
Vile Germs,Legend of Blue Eyes White Dragon,LOB-EN090,6.95,58
Vile Germs,Legend of Blue Eyes White Dragon,LOB-090,1.07,80
Vile Germs,Legend of Blue Eyes White Dragon,LOB-E070,8.0,83
Violet Crystal,Legend of Blue Eyes White Dragon,LOB-EN042,15.48,37
Violet Crystal,Legend of Blue Eyes White Dragon,LOB-042,2.23,98
Violet Crystal,Legend of Blue Eyes White Dragon,LOB-E033,15.91,40
Wasteland,Legend of Blue Eyes White Dragon,LOB-EN047,6.95,82
Wasteland,Legend of Blue Eyes White Dragon,LOB-047,1.06,93
Wasteland,Legend of Blue Eyes White Dragon,LOB-E037,9.09,30
Witty Phantom,Legend of Blue Eyes White Dragon,LOB-EN072,4.95,13
Witty Phantom,Legend of Blue Eyes White Dragon,LOB-072,1.65,37
Witty Phantom,Legend of Blue Eyes White Dragon,LOB-E058,26.03,50
Yami,Legend of Blue Eyes White Dragon,LOB-EN051,6.95,71
Yami,Legend of Blue Eyes White Dragon,LOB-051,1.13,94
Yami,Legend of Blue Eyes White Dragon,LOB-E040,12.23,58
7 Colored Fish,Metal Raiders,MRD-098,1.07,49
7 Colored Fish,Metal Raiders,MRD-E098,9.65,50
Ancient Brain,Metal Raiders,MRD-EN082,2.95,93
Ancient Brain,Metal Raiders,MRD-082,1.07,12
Ancient Brain,Metal Raiders,MRD-E082,17.61,54
Ancient Lizard Warrior,Metal Raiders,MRD-EN050,2.1,14
Ancient Lizard Warrior,Metal Raiders,MRD-050,1.0,39
Ancient Lizard Warrior,Metal Raiders,MRD-E050,7.11,50
Armored Lizard,Metal Raiders,MRD-EN005,2.95,75
Armored Lizard,Metal Raiders,MRD-005,1.04,14
Armored Lizard,Metal Raiders,MRD-E005,4.85,59
Armored Zombie,Metal Raiders,MRD-EN013,2.95,49
Armored Zombie,Metal Raiders,MRD-013,1.08,78
Armored Zombie,Metal Raiders,MRD-E013,5.75,39
B. Skull Dragon,Metal Raiders,MRD-EN018,0.0,41
B. Skull Dragon,Metal Raiders,MRD-018,10.91,91
B. Skull Dragon,Metal Raiders,MRD-E018,32.41,67
Battle Steer,Metal Raiders,MRD-EN064,2.95,60
Battle Steer,Metal Raiders,MRD-064,1.07,53
Battle Steer,Metal Raiders,MRD-E064,4.25,62
Bickuribox,Metal Raiders,MRD-EN093,2.75,16
Bickuribox,Metal Raiders,MRD-093,1.02,83
Bickuribox,Metal Raiders,MRD-E093,9.22,38
Big Eye,Metal Raiders,MRD-EN017,2.95,16
Big Eye,Metal Raiders,MRD-017,1.05,57
Big Eye,Metal Raiders,MRD-E017,2.76,74
Bladefly,Metal Raiders,MRD-EN118,0.0,74
Bladefly,Metal Raiders,MRD-118,1.04,95
Bladefly,Metal Raiders,MRD-E118,15.43,40
Blast Juggler,Metal Raiders,MRD-EN034,0.0,75
Blast Juggler,Metal Raiders,MRD-034,1.07,86
Blast Juggler,Metal Raiders,MRD-E034,13.36,16
Block Attack,Metal Raiders,MRD-EN133,3.45,25
Block Attack,Metal Raiders,MRD-133,1.08,0
Block Attack,Metal Raiders,MRD-E133,6.73,72
Blue-Winged Crown,Metal Raiders,MRD-EN122,0.99,69
Blue-Winged Crown,Metal Raiders,MRD-122,1.04,8
Blue-Winged Crown,Metal Raiders,MRD-E122,3.95,24
Cannon Soldier,Metal Raiders,MRD-EN106,1.9,84
Cannon Soldier,Metal Raiders,MRD-106,1.26,56
Cannon Soldier,Metal Raiders,MRD-E106,15.61,14
Castle of Dark Illusions,Metal Raiders,MRD-EN073,19.99,90
Castle of Dark Illusions,Metal Raiders,MRD-073,1.78,26
Castle of Dark Illusions,Metal Raiders,MRD-E073,17.78,11
Catapult Turtle,Metal Raiders,MRD-EN075,13.75,45
Catapult Turtle,Metal Raiders,MRD-075,1.5,71
Catapult Turtle,Metal Raiders,MRD-E075,14.19,81
Change of Heart,Metal Raiders,MRD-EN060,0.0,30
Change of Heart,Metal Raiders,MRD-060,5.81,14
Change of Heart,Metal Raiders,MRD-E060,24.14,15
Cocoon of Evolution,Metal Raiders,MRD-EN011,3.95,12
Cocoon of Evolution,Metal Raiders,MRD-011,2.76,87
Cocoon of Evolution,Metal Raiders,MRD-E011,4.98,77
Crawling Dragon,Metal Raiders,MRD-EN012,0.0,28
Crawling Dragon,Metal Raiders,MRD-012,0.99,11
Crawling Dragon,Metal Raiders,MRD-E012,5.09,10
Dark Elf,Metal Raiders,MRD-EN113,0.0,52
Dark Elf,Metal Raiders,MRD-113,1.29,78
Dark Elf,Metal Raiders,MRD-E113,26.58,72
Deepsea Shark,Metal Raiders,MRD-EN038,16.0,17
Deepsea Shark,Metal Raiders,MRD-038,1.09,66
Deepsea Shark,Metal Raiders,MRD-E038,7.26,17
Destroyer Golem,Metal Raiders,MRD-EN040,0.0,16
Destroyer Golem,Metal Raiders,MRD-040,1.05,47
Destroyer Golem,Metal Raiders,MRD-E040,1.15,93
Disk Magician,Metal Raiders,MRD-EN053,0.0,0
Disk Magician,Metal Raiders,MRD-053,1.03,82
Disk Magician,Metal Raiders,MRD-E053,4.53,73
Doma The Angel of Silence,Metal Raiders,MRD-EN015,7.75,23
Doma The Angel of Silence,Metal Raiders,MRD-015,1.05,34
Doma The Angel of Silence,Metal Raiders,MRD-E015,0.99,0
Dragon Piper,Metal Raiders,MRD-EN067,5.56,79
Dragon Piper,Metal Raiders,MRD-067,1.03,39
Dragon Piper,Metal Raiders,MRD-E067,5.56,40
Dream Clown,Metal Raiders,MRD-EN080,0.0,50
Dream Clown,Metal Raiders,MRD-080,1.11,35
Dream Clown,Metal Raiders,MRD-E080,9.48,10
Electric Lizard,Metal Raiders,MRD-EN048,9.58,52
Electric Lizard,Metal Raiders,MRD-048,1.05,16
Electric Lizard,Metal Raiders,MRD-E048,20.63,4
Empress Judge,Metal Raiders,MRD-EN046,3.45,62
Empress Judge,Metal Raiders,MRD-046,1.05,54
Empress Judge,Metal Raiders,MRD-E046,4.22,50
Fake Trap,Metal Raiders,MRD-EN056,0.0,30
Fake Trap,Metal Raiders,MRD-056,1.17,70
Fake Trap,Metal Raiders,MRD-E056,6.0,9
Feral Imp,Metal Raiders,MRD-EN001,1.3,72
Feral Imp,Metal Raiders,MRD-001,1.08,1
Feral Imp,Metal Raiders,MRD-E001,3.65,43
Flame Cerebrus,Metal Raiders,MRD-EN111,3.45,57
Flame Cerebrus,Metal Raiders,MRD-111,1.0,18
Flame Cerebrus,Metal Raiders,MRD-E111,8.27,49
Garnecia Elefantis,Metal Raiders,MRD-EN125,0.0,80
Garnecia Elefantis,Metal Raiders,MRD-125,1.65,1
Garnecia Elefantis,Metal Raiders,MRD-E125,16.37,12
Gate Guardian,Metal Raiders,MRD-EN000,0.0,56
Gate Guardian,Metal Raiders,MRD-000,27.99,8
Gate Guardian,Metal Raiders,MRD-E000,40.74,61
Gazelle the King of Mythical Beasts,Metal Raiders,MRD-EN124,3.45,25
Gazelle the King of Mythical Beasts,Metal Raiders,MRD-124,1.09,5
Gazelle the King of Mythical Beasts,Metal Raiders,MRD-E124,77.13,98
Germ Infection,Metal Raiders,MRD-EN136,0.0,34
Germ Infection,Metal Raiders,MRD-136,1.05,31
